,Title,Year of Release,Duration in min,Genre,Rating,Votes in Views,Gross in Millions,Action,Horror,Drama,Crime,Comedy,Thriller,Sci-Fi,Mystery,Adventure,Biography,war
0,The Godfather,1972,175,"Crime, Drama            ",9.2,231110,14.67,0,0,1,1,0,0,0,0,0,0,0
1,Goodfellas,1990,145,"Biography, Crime, Drama            ",8.7,382167,353.01,0,0,1,1,0,0,0,0,0,1,0
2,Pulp Fiction,1994,154,"Crime, Drama            ",8.9,84108,10.0,0,0,1,1,0,0,0,0,0,0,0
3,The Usual Suspects,1995,106,"Crime, Drama, Mystery            ",8.5,27683,0.05,0,0,1,1,0,0,0,1,0,0,0
4,Apocalypse Now,1979,147,"Drama, Mystery, War            ",8.5,413088,46.89,0,0,1,0,0,0,0,1,0,0,1
5,Trainspotting,1996,93,Drama            ,8.2,136921,52.1,0,0,1,0,0,0,0,0,0,0,0
6,Fight Club,1999,139,Drama            ,8.8,83594,16.31,0,0,1,0,0,0,0,0,0,0,0
7,Boogie Nights,1997,155,Drama            ,7.9,30356,0.96,0,0,1,0,0,0,0,0,0,0,0
8,Reservoir Dogs,1992,99,"Crime, Drama, Thriller            ",8.3,132578,30.0,0,0,1,1,0,1,0,0,0,0,0
9,The Shawshank Redemption,1994,142,Drama            ,9.3,181272,41.62,0,0,1,0,0,0,0,0,0,0,0
10,Jaws,1975,124,"Adventure, Thriller            ",8.1,202981,8.75,0,0,0,0,0,1,0,0,1,0,0
11,Taxi Driver,1976,114,"Crime, Drama            ",8.3,103145,2.24,0,0,1,1,0,0,0,0,0,0,0
12,L.A. Confidential,1997,138,"Crime, Drama, Mystery            ",8.3,122218,0.79,0,0,1,1,0,0,0,1,0,0,0
13,Back to the Future,1985,116,"Adventure, Comedy, Sci-Fi            ",8.6,73924,4.56,0,0,0,0,1,0,1,0,1,0,0
14,Fargo,1996,98,"Crime, Thriller            ",8.1,349512,25.38,0,0,0,1,0,1,0,0,0,0,0
15,The Dark Knight,2008,152,"Action, Crime, Drama            ",9.1,59405,108.42,1,0,1,1,0,0,0,0,0,0,0
16,The Matrix,1999,136,"Action, Sci-Fi            ",8.7,169793,16.38,1,0,0,0,0,0,1,0,0,0,0
17,Magnolia,1999,188,Drama            ,8.0,325384,177.0,0,0,1,0,0,0,0,0,0,0,0
18,Scarface,1983,170,"Crime, Drama            ",8.3,176110,3.33,0,0,1,1,0,0,0,0,0,0,0
19,The Royal Tenenbaums,2001,110,"Comedy, Drama            ",7.6,26513,6.71,0,0,1,0,1,0,0,0,0,0,0
20,Donnie Darko,2001,113,"Drama, Mystery, Sci-Fi            ",8.0,228568,67.29,0,0,1,0,0,0,1,1,0,0,0
21,Platoon,1986,120,"Drama, War            ",8.1,81698,48.2,0,0,1,0,0,0,0,0,0,0,1
22,Heat,1995,170,"Action, Crime, Drama            ",8.3,100726,22.49,1,0,1,1,0,0,0,0,0,0,0
23,American Beauty,1999,122,Drama            ,8.4,16110,0.86,0,0,1,0,0,0,0,0,0,0,0
24,The Big Lebowski,1998,117,"Comedy, Crime            ",8.1,343239,173.59,0,0,0,1,1,0,0,0,0,0,0
25,Raging Bull,1980,129,"Biography, Drama, Sport            ",8.2,162825,46.96,0,0,1,0,0,0,0,0,0,1,0
26,Un prophète,2009,155,"Crime, Drama            ",7.8,107276,3.13,0,0,1,1,0,0,0,0,0,0,0
27,The Departed,2006,151,"Crime, Drama, Thriller            ",8.5,104889,45.95,0,0,1,1,0,1,0,0,0,0,0
28,There's Something About Mary,1998,119,"Comedy, Romance            ",7.1,102660,27.09,0,0,0,0,1,0,0,0,0,0,0
29,Léon,1994,110,"Action, Crime, Drama            ",8.6,48482,0.23,1,0,1,1,0,0,0,0,0,0,0
30,Cidade de Deus,2002,130,"Crime, Drama            ",8.6,58097,1.71,0,0,1,1,0,0,0,0,0,0,0
31,Once Upon a Time in America,1984,229,"Crime, Drama            ",8.4,39627,35.51,0,0,1,1,0,0,0,0,0,0,0
32,"Lock, Stock and Two Smoking Barrels",1998,107,"Action, Comedy, Crime            ",8.2,22190,1.91,1,0,0,1,1,0,0,0,0,0,0
33,The Truman Show,1998,103,"Comedy, Drama            ",8.2,648119,424.67,0,0,1,0,1,0,0,0,0,0,0
34,Toy Story,1995,81,"Animation, Adventure, Comedy            ",8.3,47229,2.65,0,0,0,0,1,0,0,0,1,0,0
35,Alien,1979,117,"Horror, Sci-Fi            ",8.5,434224,66.26,0,1,0,0,0,0,1,0,0,0,0
36,Rushmore,1998,93,"Comedy, Drama, Romance            ",7.6,151858,106.89,0,0,1,0,1,0,0,0,0,0,0
37,Se7en,1995,127,"Crime, Drama, Mystery            ",8.6,233947,74.7,0,0,1,1,0,0,0,1,0,0,0
38,Good Will Hunting,1997,126,"Drama, Romance            ",8.3,65143,20.5,0,0,1,0,0,0,0,0,0,0,0
39,Aliens,1986,137,"Action, Adventure, Sci-Fi            ",8.4,373781,209.84,1,0,0,0,0,0,1,0,1,0,0
40,The Exorcist,1973,122,Horror            ,8.1,55389,129.8,0,1,0,0,0,0,0,0,0,0,0
41,One Flew Over the Cuckoo's Nest,1975,133,Drama            ,8.7,446875,90.14,0,0,1,0,0,0,0,0,0,0,0
42,Chinatown,1974,130,"Drama, Mystery, Thriller            ",8.2,2782,0.51,0,0,1,0,0,1,0,1,0,0,0
43,True Romance,1993,119,"Crime, Drama, Romance            ",7.9,19276,5.0,0,0,1,1,0,0,0,0,0,0,0
44,Gladiator,2000,155,"Action, Adventure, Drama            ",8.5,204340,6.39,1,0,1,0,0,0,0,0,1,0,0
45,Raiders of the Lost Ark,1981,115,"Action, Adventure            ",8.4,62570,42.37,1,0,0,0,0,0,0,0,1,0,0
46,Miller's Crossing,1990,115,"Crime, Drama, Thriller            ",7.7,18286,32.48,0,0,1,1,0,1,0,0,0,0,0
47,Being John Malkovich,1999,113,"Comedy, Drama, Fantasy            ",7.8,3841,0.01,0,0,1,0,1,0,0,0,0,0,0
48,Die Hard,1988,132,"Action, Thriller            ",8.3,26193,2.3,1,0,0,0,0,1,0,0,0,0,0
49,Casablanca,1942,102,"Drama, Romance, War            ",8.5,74741,38.04,0,0,1,0,0,0,0,0,0,0,1
50,Kick-Ass,2010,117,"Action, Comedy, Crime            ",7.6,213172,44.54,1,0,0,1,1,0,0,0,0,0,0
51,The Prestige,2006,130,"Drama, Mystery, Thriller            ",8.5,150064,1.74,0,0,1,0,0,1,0,1,0,0,0
52,Inglourious Basterds,2009,153,"Adventure, Drama, War            ",8.3,89237,37.74,0,0,1,0,0,0,0,0,1,0,1
53,Evil Dead II,1987,84,"Comedy, Horror            ",7.7,146982,80.25,0,1,0,0,1,0,0,0,0,0,0
